iter	Passed	Remaining
0	166	166183
1	177	88422
2	188	62675
3	200	49859
4	211	42065
5	222	36938
6	234	33214
7	245	30418
8	255	28154
9	264	26228
10	273	24568
11	281	23160
12	289	21966
13	297	20944
14	305	20053
15	314	19313
16	322	18647
17	330	18043
18	340	17602
19	349	17135
20	358	16694
21	366	16280
22	374	15913
23	383	15584
24	391	15273
25	399	14976
26	408	14707
27	416	14461
28	425	14231
29	433	14014
30	441	13803
31	450	13613
32	458	13428
33	466	13251
34	474	13089
35	483	12949
36	492	12816
37	500	12675
38	509	12542
39	517	12413
40	525	12291
41	533	12174
42	542	12071
43	550	11962
44	559	11864
45	567	11769
46	575	11673
47	583	11578
48	592	11493
49	600	11411
50	608	11330
51	617	11251
52	625	11170
53	633	11103
54	642	11036
55	650	10966
56	658	10897
57	667	10834
58	675	10769
59	683	10709
60	692	10654
61	700	10600
62	709	10545
63	717	10488
64	725	10432
65	734	10387
66	743	10353
67	751	10303
68	760	10256
69	768	10212
70	777	10170
71	786	10136
72	794	10093
73	803	10054
74	812	10015
75	820	9979
76	829	9941
77	837	9903
78	846	9870
79	855	9835
80	864	9808
81	872	9770
82	881	9741
83	891	9716
84	899	9681
85	907	9649
86	916	9618
87	925	9591
88	933	9556
89	942	9530
90	950	9496
91	959	9468
92	967	9435
93	976	9409
94	984	9380
95	993	9351
96	1001	9321
97	1009	9294
98	1018	9268
99	1026	9238
100	1037	9234
101	1045	9207
102	1054	9180
103	1062	9153
104	1070	9124
105	1078	9097
106	1087	9076
107	1096	9054
108	1104	9029
109	1113	9005
110	1122	8991
111	1131	8968
112	1139	8947
113	1148	8923
114	1156	8899
115	1164	8877
116	1173	8855
117	1181	8832
118	1190	8810
119	1198	8790
120	1207	8772
121	1215	8748
122	1224	8727
123	1232	8705
124	1241	8687
125	1249	8667
126	1258	8651
127	1267	8632
128	1276	8616
129	1284	8595
130	1292	8576
131	1301	8555
132	1309	8536
133	1318	8520
134	1327	8504
135	1336	8487
136	1344	8469
137	1353	8451
138	1361	8434
139	1369	8414
140	1378	8397
141	1386	8379
142	1395	8362
143	1403	8344
144	1411	8325
145	1420	8308
146	1428	8290
147	1436	8271
148	1445	8255
149	1453	8237
150	1461	8219
151	1470	8201
152	1478	8185
153	1486	8168
154	1495	8153
155	1503	8136
156	1512	8122
157	1522	8113
158	1530	8097
159	1539	8083
160	1547	8065
161	1556	8050
162	1564	8034
163	1573	8020
164	1581	8004
165	1589	7987
166	1598	7972
167	1606	7957
168	1615	7942
169	1623	7928
170	1632	7914
171	1640	7897
172	1649	7884
173	1657	7870
174	1666	7855
175	1675	7842
176	1683	7827
177	1691	7813
178	1700	7797
179	1708	7783
180	1717	7770
181	1725	7754
182	1733	7740
183	1742	7725
184	1750	7710
185	1758	7696
186	1766	7681
187	1774	7664
188	1783	7650
189	1791	7636
190	1799	7621
191	1807	7606
192	1815	7591
193	1824	7579
194	1832	7563
195	1840	7551
196	1848	7536
197	1857	7523
198	1865	7510
199	1874	7498
200	1883	7486
201	1891	7473
202	1900	7460
203	1908	7448
204	1918	7439
205	1927	7429
206	1935	7415
207	1944	7402
208	1952	7391
209	1960	7376
210	1969	7364
211	1977	7350
212	1986	7337
213	1994	7324
214	2002	7310
215	2011	7301
216	2020	7289
217	2028	7274
218	2036	7262
219	2044	7249
220	2052	7235
221	2062	7227
222	2071	7216
223	2079	7203
224	2087	7189
225	2094	7174
226	2103	7161
227	2111	7150
228	2120	7139
229	2129	7127
230	2137	7116
231	2146	7105
232	2154	7092
233	2163	7081
234	2171	7070
235	2180	7058
236	2187	7043
237	2196	7031
238	2204	7019
239	2213	7010
240	2222	6998
241	2230	6986
242	2239	6976
243	2247	6963
244	2255	6951
245	2264	6940
246	2272	6929
247	2281	6917
248	2289	6906
249	2299	6898
250	2308	6887
251	2316	6876
252	2324	6864
253	2333	6853
254	2341	6841
255	2350	6829
256	2358	6817
257	2366	6805
258	2374	6793
259	2382	6781
260	2390	6769
261	2399	6758
262	2407	6746
263	2415	6735
264	2424	6723
265	2432	6712
266	2440	6700
267	2450	6692
268	2458	6680
269	2466	6668
270	2474	6656
271	2482	6644
272	2491	6633
273	2499	6621
274	2507	6610
275	2515	6598
276	2523	6586
277	2531	6574
278	2539	6563
279	2548	6552
280	2556	6541
281	2564	6529
282	2573	6519
283	2580	6506
284	2589	6496
285	2597	6485
286	2605	6473
287	2614	6463
288	2622	6452
289	2630	6440
290	2639	6430
291	2647	6419
292	2656	6409
293	2664	6398
294	2672	6387
295	2680	6376
296	2689	6365
297	2698	6357
298	2707	6348
299	2716	6337
300	2724	6326
301	2732	6314
302	2740	6303
303	2748	6292
304	2756	6282
305	2765	6271
306	2769	6251
307	2777	6240
308	2785	6229
309	2794	6218
310	2802	6208
311	2811	6198
312	2819	6188
313	2827	6177
314	2836	6168
315	2845	6158
316	2853	6147
317	2861	6136
318	2869	6125
319	2877	6114
320	2885	6102
321	2893	6092
322	2901	6081
323	2910	6071
324	2918	6060
325	2927	6051
326	2935	6041
327	2943	6030
328	2952	6020
329	2960	6010
330	2969	6001
331	2980	5996
332	2988	5986
333	2997	5976
334	3005	5966
335	3013	5956
336	3022	5946
337	3030	5935
338	3038	5924
339	3046	5913
340	3054	5903
341	3062	5892
342	3071	5883
343	3080	5873
344	3090	5866
345	3097	5855
346	3105	5844
347	3114	5834
348	3122	5824
349	3130	5813
350	3138	5803
351	3146	5792
352	3155	5783
353	3163	5772
354	3171	5761
355	3179	5751
356	3187	5741
357	3196	5731
358	3204	5721
359	3212	5711
360	3221	5702
361	3231	5694
362	3239	5684
363	3247	5674
364	3255	5664
365	3264	5654
366	3272	5643
367	3280	5633
368	3288	5623
369	3296	5613
370	3305	5603
371	3313	5593
372	3321	5583
373	3329	5573
374	3337	5563
375	3346	5553
376	3354	5543
377	3362	5532
378	3370	5522
379	3378	5512
380	3386	5502
381	3394	5492
382	3403	5483
383	3412	5473
384	3420	5464
385	3428	5453
386	3436	5443
387	3445	5433
388	3453	5423
389	3461	5413
390	3469	5403
391	3478	5394
392	3487	5387
393	3496	5377
394	3504	5367
395	3512	5357
396	3520	5347
397	3528	5337
398	3536	5326
399	3544	5316
400	3552	5307
401	3561	5297
402	3568	5286
403	3577	5277
404	3585	5267
405	3593	5257
406	3601	5247
407	3609	5238
408	3618	5228
409	3626	5219
410	3636	5211
411	3644	5201
412	3653	5192
413	3661	5182
414	3670	5173
415	3678	5163
416	3686	5153
417	3693	5143
418	3702	5133
419	3710	5123
420	3718	5113
421	3726	5104
422	3734	5094
423	3743	5085
424	3751	5075
425	3759	5066
426	3768	5056
427	3776	5047
428	3785	5038
429	3793	5029
430	3802	5020
431	3811	5011
432	3820	5002
433	3828	4993
434	3837	4984
435	3846	4976
436	3855	4967
437	3863	4956
438	3872	4948
439	3881	4940
440	3890	4931
441	3899	4922
442	3907	4913
443	3915	4903
444	3924	4894
445	3933	4885
446	3941	4876
447	3950	4867
448	3961	4861
449	3970	4853
450	3979	4843
451	3987	4834
452	3996	4826
453	4005	4817
454	4015	4809
455	4025	4802
456	4034	4793
457	4042	4784
458	4051	4775
459	4060	4766
460	4068	4757
461	4077	4747
462	4085	4738
463	4094	4729
464	4103	4721
465	4112	4712
466	4120	4702
467	4128	4693
468	4136	4683
469	4145	4674
470	4154	4665
471	4162	4656
472	4171	4647
473	4180	4638
474	4188	4629
475	4197	4620
476	4205	4610
477	4213	4601
478	4222	4592
479	4230	4582
480	4237	4572
481	4245	4562
482	4253	4553
483	4261	4543
484	4270	4535
485	4280	4526
486	4288	4517
487	4296	4508
488	4305	4498
489	4312	4488
490	4320	4478
491	4328	4469
492	4334	4457
493	4342	4448
494	4351	4439
495	4359	4429
496	4366	4419
497	4372	4407
498	4380	4398
499	4389	4389
500	4397	4379
501	4406	4370
502	4415	4362
503	4423	4353
504	4432	4344
505	4440	4335
506	4449	4326
507	4554	4410
508	4562	4401
509	4570	4391
510	4579	4381
511	4587	4372
512	4595	4362
513	4603	4352
514	4611	4342
515	4619	4333
516	4628	4323
517	4636	4313
518	4644	4304
519	4652	4294
520	4660	4284
521	4669	4276
522	4678	4266
523	4686	4256
524	4694	4247
525	4702	4237
526	4709	4226
527	4717	4216
528	4725	4207
529	4733	4197
530	4741	4188
531	4749	4178
532	4757	4168
533	4765	4158
534	4773	4149
535	4781	4139
536	4789	4129
537	4797	4119
538	4806	4111
539	4813	4100
540	4821	4090
541	4830	4082
542	4838	4072
543	4847	4062
544	4855	4053
545	4863	4044
546	4871	4034
547	4878	4024
548	4885	4013
549	4894	4004
550	4901	3994
551	4910	3985
552	4920	3977
553	4928	3968
554	4937	3958
555	4945	3949
556	4954	3940
557	4962	3930
558	4970	3921
559	4979	3912
560	4987	3902
561	4995	3893
562	5004	3884
563	5012	3875
564	5018	3863
565	5026	3854
566	5035	3845
567	5045	3837
568	5053	3828
569	5062	3818
570	5070	3809
571	5078	3800
572	5086	3790
573	5095	3781
574	5103	3772
575	5111	3762
576	5120	3753
577	5128	3744
578	5137	3735
579	5145	3726
580	5154	3716
581	5162	3707
582	5170	3698
583	5179	3689
584	5188	3680
585	5196	3671
586	5205	3662
587	5213	3653
588	5221	3643
589	5230	3634
590	5238	3625
591	5246	3615
592	5254	3606
593	5263	3597
594	5271	3588
595	5279	3578
596	5288	3569
597	5296	3560
598	5304	3551
599	5313	3542
600	5321	3533
601	5330	3523
602	5338	3514
603	5347	3505
604	5355	3496
605	5363	3487
606	5372	3478
607	5380	3469
608	5388	3459
609	5397	3450
610	5405	3441
611	5413	3432
612	5421	3422
613	5430	3414
614	5440	3405
615	5449	3397
616	5457	3387
617	5465	3378
618	5474	3369
619	5482	3360
620	5490	3350
621	5498	3341
622	5506	3332
623	5514	3323
624	5523	3314
625	5531	3305
626	5540	3295
627	5548	3286
628	5556	3277
629	5564	3268
630	5572	3258
631	5581	3249
632	5589	3240
633	5597	3231
634	5605	3222
635	5612	3212
636	5620	3202
637	5628	3193
638	5637	3184
639	5645	3175
640	5653	3166
641	5661	3156
642	5669	3147
643	5677	3138
644	5685	3129
645	5693	3119
646	5701	3110
647	5709	3101
648	5718	3092
649	5725	3082
650	5732	3073
651	5741	3064
652	5749	3054
653	5757	3045
654	5765	3036
655	5773	3027
656	5781	3018
657	5789	3009
658	5798	3000
659	5806	2991
660	5814	2982
661	5822	2972
662	5831	2963
663	5839	2954
664	5849	2946
665	5857	2937
666	5865	2928
667	5873	2919
668	5881	2909
669	5889	2900
670	5898	2892
671	5906	2883
672	5914	2873
673	5922	2864
674	5930	2855
675	5939	2846
676	5947	2837
677	5956	2828
678	5963	2819
679	5970	2809
680	5979	2801
681	5988	2792
